year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2020,1,1,0,0.0,5.073942471889609,16.4901424590337,1006.5237068966644,NE,11.19677798243462,0.0,0.0
2020,1,1,1,0.0,8.784440094803053,15.879302321999049,1011.8514220327744,SW,8.943321073020064,0.0,0.0
2020,1,1,2,0.0,14.139091466186816,19.44306561430208,1009.6770909203476,SE,9.221936690723949,0.0,0.0
2020,1,1,3,0.0,13.768397606140075,23.104623475156814,1004.9346092316209,SE,14.958356747653005,0.0,0.0
2020,1,1,4,179.7249845805424,7.93254820130797,18.62766689475218,1010.7761870933313,NW,8.065647748867137,0.0,0.0
2020,1,1,5,,5.361165476891816,19.1272182605978,1011.8158427051721,SW,8.816825859218449,0.0,0.0
2020,1,1,6,3.826618297017462,10.455470490046231,24.737638446522176,1011.9263630310475,NW,9.331892845997613,0.0,0.0
2020,1,1,7,11.927728215725358,11.843881137336403,22.131933318904068,1012.4370926773303,NW,8.002932134441496,0.0,0.0
2020,1,1,8,,5.383669023431889,17.921703861117336,1001.5315137488623,SE,12.587787960863192,0.0,0.0
2020,1,1,9,6.947988244067755,10.770181313410664,20.163214036690633,1016.8951476898985,SW,8.67442934491105,0.0,0.0
2020,1,1,10,,3.6489253558336845,16.109746921562614,1017.4754341803217,SE,8.596016629049542,0.0,0.0
2020,1,1,11,0.0,7.848890715410166,14.896905964801835,1014.8551560799301,NW,11.433224537032004,0.0,0.0
2020,1,1,12,187.53783312048907,7.015239466662788,15.725886814698102,1007.153272681171,cv,8.651413822276314,0.0,0.0
2020,1,1,13,0.0,-3.3762159476221463,7.966064040514002,1014.8349287827551,NW,10.143683247510324,1.7906119329712453,0.0
2020,1,1,14,0.0,2.143666846390115,7.325246502460903,1013.1130501190728,SE,11.446368581627365,0.0,0.0
2020,1,1,15,0.0,-2.447009597045195,9.777603506344345,1015.3724134812526,NE,11.145024736472516,0.0,0.0
2020,1,1,16,0.0,-5.723975392607133,7.631379620074536,1020.7556129473321,NW,11.04606853322232,0.0,0.0
2020,1,1,17,0.0,2.121696255400968,11.113112866340481,1012.1076550279278,NW,8.18562924629903,0.0,0.0
2020,1,1,18,0.0,-2.203496398335277,7.275927773436367,1013.9076274837332,NW,8.166430566353382,0.0,0.0
